State/UT,Year,population(total),Rural,Urban,Tot_M,Tot_F,P_LIT,M_LIT,F_LIT,Lit_rate,Area (km2),MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Total Crimes,tot_crimes_sc,total crime against women,Total crimes against STs,Total crime against children,Crime Rate
PUNJAB,2011,27704236,18315782,9388454,14639465,13103873,18707137,10436056,8271081,75.84,50362,842,997,112,479,0,479,681,517,164,28,143,236,2488,4784,2107,2677,0,281,3571,58,83,4757,143,282,31,1136,0,3576,10175,34883,75710,90,2588,0,622,125.9121529
RAJASTHAN,2011,68621012,52512769,16108243,35550997,32997440,38275282,23688412,14586870,66.11,342239,1461,1566,100,1800,0,1800,3204,2713,491,28,72,727,4510,21099,12566,8533,751,741,17497,56,473,17977,514,2447,9,12218,0,8122,70250,165622,357347,634506,19701,1263,1491,241.3575597
SIKKIM,2011,607688,541912,65776,323070,287507,444952,251269,193683,81.42,7096,14,7,8,16,0,16,10,10,0,0,0,5,60,72,8,64,25,4,31,3,4,75,0,24,0,4,0,57,177,596,1290,9,54,8,29,98.07664459
TAMIL NADU,2011,72138958,40242663,31896295,36137975,36009055,51837507,28040491,23797016,80.33,130058,1877,2962,28,677,0,677,1984,1743,241,101,11,2066,4848,13924,4911,9013,3009,238,3872,275,706,21167,152,1467,464,1812,0,16076,115163,192879,402343,1391,6315,23,925,267.3714805
TRIPURA,2011,3671032,3049230,623802,1874376,1799541,2804783,1501369,1303414,80.09,10486,163,75,0,205,0,205,154,116,38,11,0,50,227,494,59,435,175,54,99,9,58,1340,30,294,9,702,0,14,1640,5803,12459,22,1356,30,102,158.0754404
UTTAR PRADESH,2011,199581477,157888889,41692588,104480510,95331831,114397555,68234964,46162591,67.68,240928,4951,4653,1454,2042,0,2042,8500,7525,975,379,39,3148,5765,36683,21363,15320,5022,3721,9941,270,477,12234,2322,3455,3,7121,0,14380,68575,195135,437495,7702,22468,35,5500,97.77209936
UTTARAKHAND,2011,10116752,7542681,2574071,5137773,4948519,6880953,3863708,3017245,78.82,53483,178,189,54,129,0,129,314,283,31,13,1,179,342,2093,840,1253,401,115,519,26,17,852,83,116,72,307,0,696,2078,8774,20084,32,990,0,83,86.72743979
WEST BENGAL,2011,91347736,65828339,25519397,46809027,44467088,61538281,33818810,27719471,76.26,88752,2109,2242,486,2363,0,2363,4285,3711,574,236,939,760,455,21446,4642,16804,6019,1264,4171,207,413,13094,510,2363,200,19772,0,3249,56614,143197,314488,59,28919,41,1450,156.7603164
A& N ISLANDS,2012,382095,256885,125210,203648,178447,299309,166678,132631,88.36,8249,15,3,0,12,0,12,8,7,1,5,0,2,71,71,0,71,8,5,31,1,4,62,2,17,4,5,0,6,351,683,1457,0,47,4,28,178.7513576
ANDHRA PRADESH,2012,85467892,62485727,22982165,42862323,42399890,50743820,28255604,22488216,67.6,275045,2717,2183,158,1341,0,1341,1870,1403,467,131,1,668,8442,27475,8036,19439,1878,1271,11002,260,980,56768,504,4816,3714,13389,0,13929,39025,192522,415730,3057,25167,666,2274,225.2565209
ARUNACHAL PRADESH,2012,1407014,1098225,308789,730210,676804,785545,441052,327767,66.3,83743,73,29,1,46,0,46,82,58,24,20,0,65,215,402,95,307,28,55,85,1,33,438,1,67,2,26,0,94,657,2420,5370,0,200,10,39,171.9954457
ASSAM,2012,31209792,27250893,3967112,15956976,15290558,19753316,10589776,8635166,72.59,78438,1368,670,54,1716,0,1716,3812,3360,452,266,7,907,3825,9394,2720,6674,5077,1278,1705,61,2830,6676,140,1840,5,6407,2,2565,27077,77682,170286,4,13470,0,392,248.9026521
BIHAR,2012,103993664,93073387,10920277,54348718,49920937,52724756,31702847,21021909,62.4,94163,3566,5452,285,927,0,927,4807,3789,1018,540,54,1266,3758,17667,6404,11263,10871,1650,3933,40,799,45827,1275,118,37,3686,4,4631,35421,146614,316629,4821,9836,2894,2894,140.9835892
CHANDIGARH,2012,1056267,108123,948144,581243,479060,806980,466276,340704,86.9,114,21,44,5,27,0,27,87,66,21,3,9,63,235,1549,894,655,49,34,234,2,9,42,5,45,25,73,0,3,1042,3606,8875,2,241,0,96,341.3909551
CHHATTISGARH,2012,25618850,20534709,5084141,12853427,12733913,6598317,8825508,6598317,71.5,135191,998,593,26,1034,0,1034,450,350,100,64,4,412,3334,5341,2358,2983,910,170,925,53,330,10855,81,1601,162,980,0,2888,23387,54598,116021,262,4208,344,1881,213.1165138
D & N HAVELI,2012,344303,265098,79205,194341,150548,224345,143233,81112,78.39,491,7,2,0,3,0,3,13,9,4,2,0,2,22,68,36,32,11,10,4,0,12,25,0,2,0,0,0,23,112,318,720,0,14,4,8,92.36050804
DAMAN & DIU,2012,243608,149183,94425,150902,93224,189411,125266,64145,87.18,112,3,5,0,5,0,5,3,0,3,1,0,3,26,55,42,13,9,6,8,0,11,17,0,0,0,3,0,38,46,239,541,0,8,0,8,98.1084365
DELHI,2012,17117244,1160897,15956347,9140110,7964427,6470999,739630,5731369,86.81,16579,521,439,82,706,0,706,3970,2160,1810,28,13,608,1715,22032,14391,7641,79,341,2491,61,79,1747,134,727,208,1985,0,913,15408,54287,135282,44,5920,0,4462,317.1480175
GOA,2012,1464303,738377,725926,739805,719980,1167386,616623,550763,86.65,3702,45,35,3,55,0,55,24,16,8,6,0,25,356,915,300,615,122,64,205,16,34,266,0,49,16,24,0,233,1115,3608,8210,10,160,1,122,246.3970913
GUJARAT,2012,60650119,38004304,22645815,31554242,29006328,41351629,23662671,17688958,89.3,196024,1126,557,43,473,0,473,1720,1527,193,287,19,1366,4695,15952,9057,6895,1758,1240,1361,216,282,10234,21,745,93,6658,0,5573,75702,130121,278387,288,9517,221,1327,214.5436846
HARYANA,2012,25398397,17995031,7403366,13521723,11873327,16648784,9823449,6825335,80.7,44212,991,910,68,668,0,668,1349,900,449,204,176,711,5129,17590,12979,4611,1424,740,1798,20,191,3277,258,525,434,3137,0,1484,21396,62480,144567,55,5922,0,1015,245.9997771
HIMACHAL PRADESH,2012,6864044,6183053,680991,3485354,3386111,5052567,2760847,2291720,75.48,55673,113,53,9,183,0,183,172,152,20,1,0,10,928,769,265,504,494,137,373,1,131,1173,2,250,68,251,0,562,6877,12557,26238,1,906,3,266,182.938804
JAMMU & KASHMIR,2012,12569312,9434606,3134706,6652615,5908900,7093819,4281729,2812090,83.5,222236,124,511,16,303,0,303,1093,1041,52,6,0,81,1395,2022,557,1465,1400,163,612,17,190,322,8,1322,347,301,0,371,14004,24608,52634,2,3322,0,40,195.7784165
JHARKHAND,2012,42523879,25559704,16964175,16964175,16089934,18397943,10915166,7482777,69.2,79714,1694,842,92,812,0,812,1056,786,270,284,33,494,1216,6680,2215,4465,2331,639,1566,14,136,4785,302,284,10,1261,3,1594,14818,40946,90440,696,3458,287,113,96.28942835
KARNATAKA,2012,61290592,40546828,20743764,31013106,30173832,40746754,22553487,18193267,66.55,191791,1860,1923,71,621,0,621,1451,1070,381,211,536,2207,5792,18418,8886,9532,7502,401,5822,84,416,20350,218,2978,100,3684,32,876,58468,134021,288532,2605,8703,374,875,218.6648809
KERALA,2012,33564882,24755388,8809494,16091521,17465542,28389046,13828247,14560799,94.5,38863,374,497,107,1019,0,1019,281,214,67,72,289,725,2710,4078,1262,2816,10938,301,4681,68,568,21170,32,3735,498,5216,0,48,101582,158989,323356,810,10714,124,1324,473.6766243
LAKSHADWEEP,2012,64807,35932,28875,33321,31538,52846,28275,24571,94.2,32,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1,6,10,0,0,0,3,3,0,1,0,1,0,0,32,60,127,0,2,0,0,92.58259139
MADHYA PRADESH,2012,72789121,53668409,19120712,37680008,35109113,42979722,25778511,18101085,93.1,308245,2373,2332,114,3425,0,3425,1302,1127,175,107,127,1940,10019,23182,12279,10903,1951,576,2021,31,814,35549,743,6655,774,3988,6,7721,114585,220335,468579,2875,16718,1218,5168,302.703202
MAHARASHTRA,2012,113898552,65638482,48260070,59116701,54943246,83421530,46072220,37349310,82.88,307713,2712,2168,171,1839,0,1839,1583,1140,443,793,322,6949,15648,47476,17855,29621,8860,1900,9398,291,1246,28392,329,3935,1294,7415,0,13311,46668,202700,456298,1091,15952,308,3456,177.965388
MANIPUR,2012,2768483,1913035,855448,1486059,1461141,1898099,1045555,852544,77.06,22327,83,409,4,63,0,63,223,133,90,8,171,3,53,903,736,167,72,67,136,2,74,285,0,49,1,43,0,2,1086,3737,8663,0,289,2,104,134.9836716
MEGHALAYA,2012,3031103,2444270,586833,1527635,1523733,1853620,946778,906842,74.84,22429,137,63,8,164,0,164,92,24,68,52,1,46,145,543,152,391,0,44,108,13,61,157,1,43,0,16,0,102,761,2557,5913,0,248,0,91,84.35873014
MIZORAM,2012,1110132,561966,548166,567001,553325,874969,447299,427670,91.66,21081,30,21,7,103,0,103,8,3,5,2,0,4,347,605,24,581,1,12,42,6,12,103,0,85,0,8,0,34,336,1766,4248,0,199,0,95,159.0801815
NAGALAND,2012,2047069,1688521,358548,1033546,977699,1391048,743503,647545,80.48,1483,75,42,6,21,0,21,27,10,17,1,0,54,65,381,65,316,3,22,39,4,7,30,0,16,0,0,0,31,266,1090,2609,0,47,0,13,53.24686173
ODISHA,2012,42526879,36028375,6498504,21193585,21052751,27620912,15466923,12153989,73.15,155707,1548,1879,54,1458,0,1458,1542,1364,178,402,99,1613,3430,9630,3210,6420,2205,317,1607,19,469,8223,525,4187,304,2638,0,3605,22203,67957,148544,2265,10476,688,418,159.7977599
PUDUCHERRY,2012,1271845,421639,850206,627211,652598,1012025,527718,484307,86.1,479,29,27,12,13,0,13,19,16,3,5,15,16,77,658,462,196,126,9,90,6,21,818,0,9,2,6,0,263,2060,4281,9252,24,46,0,32,336.59762
PUNJAB,2012,28008981,18517255,9491726,14815138,13313534,19216170,10696957,8519213,76.11,50362,855,1045,104,680,1,679,919,689,230,48,184,213,2828,5272,2011,3261,1,289,3451,49,74,4186,118,340,31,1293,0,3405,10405,35790,78451,71,3151,0,877,127.780443
RAJASTHAN,2012,69819785,53405486,16414299,36262016,34053358,39791828,24446441,15345387,66.76,342239,1461,1538,98,2049,0,2049,3243,2697,546,31,74,807,4610,23314,14107,9207,573,682,19646,49,475,17614,478,2352,18,13312,0,8284,70240,170948,370502,653748,20906,1351,1807,244.8417737
SIKKIM,2012,615688,547873,67815,323070,291532,474611,266596,208015,81.42,7096,7,7,0,34,0,34,10,10,0,0,0,6,65,117,17,100,22,3,31,1,20,91,1,19,0,4,0,32,58,528,1217,5,68,4,30,85.75772144
TAMIL NADU,2012,72867204,40524361,32342843,36680044,36477172,53274562,28573260,24701302,80.88,130058,1949,2954,44,737,0,737,1945,1693,252,97,19,1898,4457,11996,3915,8081,3136,262,4151,377,726,22100,110,1494,382,1965,0,15499,124176,200474,415626,1647,6381,27,1036,275.1223994
TRIPURA,2012,3717661,3088869,628792,1889371,1826534,2897340,1538903,1355550,80.89,10486,124,79,2,229,0,229,139,114,25,7,0,60,239,565,140,425,128,47,105,9,59,1504,37,314,7,858,0,10,1742,6264,13461,76,1559,29,20,168.493039
UTTAR PRADESH,2012,202226609,159783555,42443054,107092522,96666476,118889202,70418482,48470720,67.98,240928,4966,4811,1410,1963,0,1963,8878,7910,968,322,68,3159,6187,37376,22773,14603,5676,3638,10713,205,327,12290,2244,3247,8,7661,0,14406,68538,198093,444403,6202,23033,44,6033,97.95595198
UTTARAKHAND,2012,10260421,7670906,2589515,5240528,5136562,7100774,3971891,3128883,79.22,53483,217,161,44,148,0,148,297,256,41,29,3,144,391,1913,949,964,369,137,529,22,17,1022,71,139,73,368,0,670,2118,8882,20122,33,1055,3,122,86.56564872
WEST BENGAL,2012,92575564,66749935,25825629,47417544,45045160,63274096,34529005,28745091,76.88,88752,2252,2854,522,2046,0,2046,5117,4168,949,279,875,816,464,22991,5158,17833,6611,1391,5300,352,396,15923,593,3345,556,19865,12,4385,64482,161427,353008,85,30585,91,1706,174.3732288
