State/UT,Year,population(total),Rural,Urban,Tot_M,Tot_F,P_LIT,M_LIT,F_LIT,Lit_rate,Area (km2),MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Total Crimes,tot_crimes_sc,total crime against women,Total crimes against STs,Total crime against children,Crime Rate
MIZORAM,2002,907232,456965,450267,467832,439556,677591,358157,319434,89.05,21081,29,26,5,76,0,76,7,2,5,5,0,7,446,999,30,969,1,26,85,16,27,112,0,73,0,3,0,13,864,2820,6722,0,86,40,0,310.8355966
NAGALAND,2002,1988036,1644150,3422545,1045221,9434252,1142521,644525,498920,67.12,1483,100,34,5,17,0,17,27,4,23,21,0,110,128,257,81,176,5,10,21,3,6,53,0,1,0,0,0,24,292,1114,2529,17,22,371,0,56.03520258
ODISHA,2002,37283120,31694158,5588962,18901291,18389035,20426666,12268156,8158510,64.05,155707,1075,1372,58,691,0,691,523,432,91,246,30,945,2884,5268,1028,4240,1598,246,793,12,405,4947,248,1605,188,1167,0,2672,20755,47728,101938,1195,24,0,56,128.0150374
PUDUCHERRY,2002,998703,333869,664834,498161,500445,718026,388984,329042,81.68,479,29,43,2,6,0,6,10,6,4,2,0,6,129,526,258,268,193,11,31,3,22,1093,5,59,26,9,0,190,2042,4437,9416,18,4523,0,17,444.2762263
PUNJAB,2002,24675665,16305742,8369923,13140865,11533189,15104754,8619581,6485173,70.24,50362,733,728,79,299,0,299,551,354,197,50,83,110,1928,2963,1267,1696,2,373,2716,39,68,4453,166,341,145,944,0,2310,9713,28794,61401,131,103,0,161,116.6898643
RAJASTHAN,2002,57637331,44158669,13478662,29978991,27620794,28585131,18534430,10050701,60.97,342239,1276,2043,68,1051,0,1051,2587,2019,568,47,33,734,6661,16313,4706,11607,7178,938,7286,63,1130,26519,399,2730,44,5691,0,4670,63787,151248,322447,577535,2317,930,204,262.4132613
SIKKIM,2002,547340,486752,60588,291657,255647,249615,146285,103330,68.13,7096,13,5,2,6,0,6,9,2,7,0,0,5,66,64,5,59,15,3,48,0,2,50,0,17,0,3,0,7,170,485,1049,1,11671,10,6,88.61037015
TAMIL NADU,2002,63341763,35445506,27896257,31840521,31476042,41517278,23288664,18228614,74.11,130058,1723,2133,36,534,0,534,1001,714,287,176,25,653,5533,18755,4671,14084,4252,288,2017,121,850,25150,243,1877,1718,1052,0,10125,88680,166942,354174,2097,36,77,135,263.5575521
TRIPURA,2002,3243991,2690601,553390,1664723,1579554,2088895,1181776,907119,73.84,10486,201,38,1,108,0,108,128,48,80,29,0,56,192,270,51,219,180,12,20,7,40,518,16,128,0,236,0,46,849,3075,6656,0,5868,0,0,94.79064523
UTTAR PRADESH,2002,169355681,134159847,35195834,89053980,80205203,78883732,50564061,28319671,57.28,240928,6825,6283,1243,1415,1,1414,3430,2298,1132,552,59,2840,6126,22419,6353,16066,4878,2738,5026,127,643,13947,1893,2145,1887,5679,0,7313,48569,146037,319338,7927,537,61,1826,86.23094256
UTTARAKHAND,2002,8642156,6423859,2218297,4399464,4234203,5258588,3084096,2174492,72.26,53483,292,249,47,89,0,89,198,155,43,32,6,177,554,1365,374,991,342,145,312,8,40,760,66,145,97,316,1,440,2295,7976,17604,99,12426,3,27,92.2917846
WEST BENGAL,2002,81218487,58499682,22718805,41963576,39252154,48444196,28028926,20415270,69.39,88752,1444,413,540,759,0,759,831,694,137,204,646,544,348,12449,2458,9991,2461,451,1315,98,114,3112,273,964,34,4069,1,2703,25189,58962,131963,4,885,12,175,72.59677221
A& N ISLANDS,2003,361083,243276,117807,194905,165998,260785,150078,110598,82.1,8249,21,4,1,2,0,2,2,2,0,2,0,7,56,60,3,57,19,3,13,0,8,110,0,9,2,7,0,0,318,644,1352,0,10865,1,6,178.3523456
ANDHRA PRADESH,2003,77895847,56626593,21269254,39278468,38577149,41792426,24439807,17664001,61.6,275045,2667,1678,147,946,0,946,1485,931,554,176,5,660,9050,23408,4521,18887,2328,1099,7581,318,1049,41545,466,4128,2286,8167,5,8515,39242,156951,339741,3559,22,571,1463,201.488277
ARUNACHAL PRADESH,2003,1149054,910571,238483,604553,545313,531424,327102,204322,56.3,83743,77,20,3,31,0,31,68,51,17,37,0,60,253,370,50,320,7,28,21,7,10,427,0,43,0,14,0,0,585,2061,4591,0,17175,66,18,179.3649385
ASSAM,2003,27515328,23965151,3550177,14193447,13325321,14922155,8620044,6302111,64.8,78438,1191,485,48,1095,0,1095,1628,1351,277,471,26,523,2606,5525,406,5119,3340,611,894,58,677,4952,60,878,6,1808,0,2086,9227,38195,84638,67,150,20,19,138.8135369
BIHAR,2003,86860345,77774590,9085755,45344405,41604460,34527489,22501048,12026441,49.6,94163,3771,3540,298,985,0,985,2427,674,1753,1221,120,2463,2986,10124,1357,8767,8029,1105,1947,92,669,8884,909,688,11,1880,37,2574,37503,92263,198062,1747,5920,56,56,106.2199327
CHANDIGARH,2003,929684,95090,834594,521231,409601,672719,397366,275353,82.7,114,21,15,2,18,0,18,32,28,4,3,1,12,204,1238,552,686,46,32,209,2,4,71,1,11,4,93,0,8,779,2806,6900,1,5202,0,40,301.822985
CHHATTISGARH,2003,21718008,17354615,4363393,10918753,10799255,11909050,7092494,4816556,65.72,135191,776,513,51,898,0,898,177,149,28,140,14,331,3621,4170,922,3248,703,76,412,24,151,3653,79,1481,105,601,0,1158,19315,38449,82143,709,196,774,614,177.0374152
D & N HAVELI,2003,240779,185673,55105,133880,107298,121193,82911,38282,61.01,491,11,5,0,1,0,1,7,4,3,4,0,6,41,61,15,46,17,8,13,2,4,22,0,4,0,2,0,1,129,338,745,0,3588,23,1,140.3776907
